Date,Open,High,Low,Close,Adj Close,Volume
2016-09-22,10.785,10.88,10.746667,10.834167,10.811801,19525200
2016-09-23,10.8,10.805833,10.59,10.639167,10.617205,18266400
2016-09-26,10.455833,10.493333,10.323333,10.375,10.353583,20470800
2016-09-27,10.363333,10.688333,10.323333,10.669167,10.647143,20725200
2016-09-28,10.7075,10.746667,10.565,10.7275,10.705356,18924000
2016-09-29,10.681667,10.734167,10.359167,10.5,10.478326,28707600
2016-09-30,10.596667,10.8225,10.544167,10.715833,10.693712,19996800
2016-10-03,10.679167,10.723333,10.554167,10.691667,10.669596,20439600
2016-10-04,10.7675,10.845833,10.514167,10.630833,10.608888,28051200
2016-10-05,10.7275,10.845833,10.7125,10.741667,10.719493,17214000
2016-10-06,10.701667,10.794167,10.5725,10.725,10.702861,18632400
2016-10-07,10.759167,10.799167,10.501667,10.655,10.633005,22640400
2016-10-10,10.8125,10.930833,10.806667,10.845833,10.823444,14972400
2016-10-11,10.823333,10.836667,10.254167,10.3975,10.376037,32410800
2016-10-12,10.408333,10.4725,10.27,10.375833,10.354415,20514000
2016-10-13,10.159167,10.338333,9.9725,10.254167,10.233,26107200
2016-10-14,10.3925,10.526667,10.268333,10.2775,10.256285,20452800
2016-10-17,10.275,10.328333,10.165833,10.206667,10.185598,13965600
2016-10-18,10.5625,10.619167,10.458333,10.468333,10.446724,19242000
2016-10-19,10.449167,10.514167,10.415833,10.4725,10.450882,11763600
2016-10-20,10.424167,10.501667,10.251667,10.428333,10.406806,17487600
2016-10-21,10.450833,10.565833,10.3525,10.541667,10.519906,14658000
2016-10-24,10.755,10.9475,10.746667,10.925833,10.903278,17162400
2016-10-25,10.935833,10.951667,10.774167,10.816667,10.794338,14928000
2016-10-26,10.608333,10.78,10.508333,10.609167,10.587267,23827200
2016-10-27,10.739167,10.765,10.413333,10.460833,10.439238,25760400
2016-10-28,10.361667,10.528333,10.166667,10.28,10.258779,35739600
2016-10-31,10.38,10.38,10.216667,10.221667,10.200567,14226000
2016-11-01,10.2875,10.2875,9.735,10.011667,9.991,25480800
2016-11-02,9.978333,10.045833,9.684167,9.750833,9.730704,20440800
2016-11-03,9.710833,9.8025,9.434167,9.47,9.450452,21753600
2016-11-04,9.3825,9.589167,9.315,9.3625,9.343174,21230400
2016-11-07,9.815833,10.065,9.7775,10.033333,10.012621,25240800
2016-11-08,10,10.365,9.933333,10.23,10.208882,27646800
2016-11-09,9.8675,10.419167,9.839167,10.373333,10.35192,45823200
2016-11-10,10.499167,10.558333,9.455833,9.88,9.859605,61992000
2016-11-11,9.7275,9.943333,9.633333,9.871667,9.851289,28390800
2016-11-14,9.89,9.911667,9.43,9.538333,9.518643,44388000
2016-11-15,9.78,10.070833,9.7525,9.98,9.959397,26392800
2016-11-16,9.829167,10.174167,9.829167,10.1425,10.121564,21584400
2016-11-17,10.135833,10.3775,10.0725,10.3775,10.356077,18884400
2016-11-18,10.396667,10.464167,10.229167,10.260833,10.239652,15764400
2016-11-21,10.325833,10.601667,10.321667,10.569167,10.547349,20906400
2016-11-22,10.6975,10.75,10.59,10.664167,10.642154,19170000
2016-11-23,10.561667,10.5975,10.4,10.535833,10.514084,18456000
2016-11-25,10.585833,10.653333,10.5425,10.6375,10.615542,9570000
2016-11-28,10.589167,10.716667,10.535,10.578333,10.556497,17866800
2016-11-29,10.5875,10.826667,10.51,10.68,10.657954,18645600
2016-11-30,10.701667,10.7275,10.2775,10.334167,10.312834,37824000
2016-12-01,10.281667,10.2825,9.705833,9.766667,9.746506,46596000
2016-12-02,9.775833,9.93,9.689167,9.805833,9.785591,25746000
2016-12-05,9.964167,10.156667,9.826667,10.0325,10.011791,22485600
2016-12-06,10.11,10.1625,9.986667,10.105,10.084141,17313600
2016-12-07,10.045833,10.53,9.958333,10.48,10.458365,37216800
2016-12-08,10.506667,10.629167,10.445833,10.544167,10.522401,28254000
2016-12-09,10.663333,10.809167,10.663333,10.790833,10.768559,25668000
2016-12-12,10.643333,10.711667,10.518333,10.640833,10.618867,23787600
2016-12-13,10.756667,11.2275,10.741667,11.056667,11.033844,42298800
2016-12-14,11.078333,11.198333,10.881667,10.975833,10.953176,35594400
2016-12-15,11.005833,11.225,10.946667,11.0425,11.019705,26606400
2016-12-16,11.094167,11.165833,10.8475,10.908333,10.885816,28688400
2016-12-19,10.954167,11.241667,10.905,11.041667,11.018874,20893200
2016-12-20,11.128333,11.229167,11.108333,11.175,11.151932,15696000
2016-12-21,11.179167,11.201667,11.065833,11.135833,11.112845,12072000
2016-12-22,11.140833,11.155833,10.92,11.039167,11.01638,16380000
2016-12-23,10.994167,11.078333,10.958333,11.073333,11.050474,8062800
2016-12-27,11.133333,11.4275,11.121667,11.235,11.211807,18910800
2016-12-28,11.303333,11.339167,10.950833,10.975,10.952345,22834800
2016-12-29,10.969167,11.038333,10.823333,10.921667,10.899122,21432000
2016-12-30,10.984167,10.990833,10.5,10.6025,10.580614,26346000
2017-01-03,10.800833,10.990833,10.6975,10.859167,10.836751,24411600
2017-01-04,10.909167,11.105,10.895,11.044167,11.021368,16628400
2017-01-05,11.035,11.254167,11.025,11.24,11.216798,15343200
2017-01-06,11.260833,11.613333,11.175,11.525,11.501209,23949600
