,Date,Open,High,Low,Close,Adj Close,Volume
126,2021-05-19,316.660004,322.899994,316.299988,322.589996,321.859375,66319100
127,2021-05-20,324.119995,329.709991,323.890015,328.829987,328.085236,46466100
128,2021-05-21,330.429993,330.859985,326.640015,327.01001,326.269379,50330400
129,2021-05-24,329.369995,333.670013,326.899994,332.51001,331.756958,32475800
130,2021-05-25,334.070007,334.809998,331.76001,332.970001,332.215881,31280300
131,2021-05-26,333.660004,334.609985,332.950012,334.130005,333.37326,25444900
132,2021-05-27,333.670013,334.540009,332.670013,332.880005,332.126099,27931700
133,2021-05-28,334.119995,335.570007,333.600006,333.929993,333.173706,29927400
134,2021-06-01,335.299988,335.790009,331.429993,332.820007,332.066223,31145400
135,2021-06-02,333.25,334.339996,331.700012,333.470001,332.714752,22047900
136,2021-06-03,330.549988,331.859985,328.279999,330,329.252594,37057800
137,2021-06-04,331.850006,336.059998,331.779999,335.600006,334.839935,38736500
138,2021-06-07,335.049988,336.660004,334.339996,336.600006,335.837646,32611900
139,2021-06-08,338.399994,339.290009,335.029999,336.76001,335.997284,27282800
140,2021-06-09,338.170013,338.970001,336.649994,336.839996,336.077118,21485300
141,2021-06-10,337.190002,340.459991,336.730011,340.350006,339.579163,33702100
142,2021-06-11,340.359985,341.25,339.690002,341.23999,340.467133,21222800
143,2021-06-14,341.679993,344.519989,340.459991,344.51001,343.729767,27827700
144,2021-06-15,344.149994,344.470001,341.519989,342.26001,341.484833,35963800
145,2021-06-16,342.73999,343.839996,337.450012,341.01001,340.237671,55399500
146,2021-06-17,339.970001,346.380005,339.920013,345.339996,344.557861,59722700
147,2021-06-18,343.630005,344.809998,341.859985,342.630005,341.854004,55414900
148,2021-06-21,342.429993,344.690002,340.149994,344.359985,343.978607,32992600
149,2021-06-22,344.149994,348.029999,343.839996,347.570007,347.185089,28941600
150,2021-06-23,347.51001,348.920013,346.880005,347.73999,347.354889,27188500
151,2021-06-24,349.730011,351.459991,349.170013,349.890015,349.502533,32581600
152,2021-06-25,350.470001,350.720001,348.839996,349.459991,349.072968,28682800
153,2021-06-28,350.779999,353.850006,350.720001,353.709991,353.318268,39130300
154,2021-06-29,353.529999,355.019989,352.670013,354.98999,354.596863,29426000
155,2021-06-30,354.829987,355.230011,353.829987,354.429993,354.037476,32724000
156,2021-07-01,354.070007,355.089996,352.679993,354.570007,354.177338,29290000
157,2021-07-02,356.519989,358.970001,356.279999,358.640015,358.242828,32727200
158,2021-07-06,359.26001,360.480011,356.48999,360.190002,359.791107,38842400
159,2021-07-07,362.450012,362.76001,358.940002,360.950012,360.550262,35265200
160,2021-07-08,355.73999,359.649994,354.420013,358.769989,358.372681,50890000
161,2021-07-09,358.170013,361.5,357.570007,361.01001,360.610199,35184500
162,2021-07-12,362.450012,362.890015,360.829987,362.420013,362.018646,25717700
163,2021-07-13,362.029999,365.470001,361.540009,362.420013,362.018646,39723000
164,2021-07-14,364.829987,365.48999,362.220001,363.070007,362.667938,35336400
165,2021-07-15,362.980011,363.190002,358.459991,360.519989,360.120728,53391600
166,2021-07-16,361.399994,362.410004,357.23999,357.600006,357.203979,47262000
167,2021-07-19,354.049988,355.179993,352.040009,354.670013,354.277222,64404600
168,2021-07-20,355.630005,360.279999,353.799988,358.790009,358.39267,42183700
169,2021-07-21,358.350006,361.559998,358.119995,361.559998,361.159576,30259900
170,2021-07-22,361.769989,363.959991,361.769989,363.950012,363.546967,30252200
171,2021-07-23,365.309998,368.48999,363.920013,368.200012,367.792236,31960800
172,2021-07-26,367.48999,368.890015,366.600006,368.48999,368.081909,28438100
173,2021-07-27,368.220001,368.220001,360.160004,364.429993,364.026398,57933100
174,2021-07-28,365.600006,367.450012,363.23999,365.829987,365.424835,42066200
175,2021-07-29,365.25,367.679993,365.25,366.480011,366.074158,25672500
176,2021-07-30,362.440002,365.170013,362.410004,364.570007,364.16626,36463500
177,2021-08-02,366.279999,366.880005,363.869995,364.600006,364.196228,27334100
178,2021-08-03,365.279999,366.929993,362,366.809998,366.403778,35558500
179,2021-08-04,366.769989,368.320007,365.630005,367.339996,366.933197,29602200
180,2021-08-05,368.179993,369.910004,367.450012,369.670013,369.26062,21443900
181,2021-08-06,368.369995,369.369995,366.910004,368.049988,367.642395,33313700
182,2021-08-09,368.519989,369.269989,367.390015,368.730011,368.321655,25960200
183,2021-08-10,369.26001,369.559998,365.619995,366.839996,366.433746,35130800
184,2021-08-11,368.140015,368.649994,364.839996,366.209991,365.804443,34249800
185,2021-08-12,365.690002,367.899994,364.299988,367.529999,367.122986,25969200
186,2021-08-13,367.890015,369.160004,367.380005,368.820007,368.41156,19318800
187,2021-08-16,367.670013,369.019989,363.700012,368.980011,368.571381,34856900
188,2021-08-17,366.149994,367.149994,363.230011,365.730011,365.324982,44793900
189,2021-08-18,365.179993,366.619995,361.869995,362.209991,361.808868,38541900
190,2021-08-19,360.220001,365.679993,359.959991,363.959991,363.556915,48499400
191,2021-08-20,365.059998,368.140015,364.73999,367.730011,367.322754,39462300
192,2021-08-23,368.799988,373.940002,368.790009,373.230011,372.816681,34034700
193,2021-08-24,373.839996,374.98999,373.359985,374.369995,373.955383,21732900
194,2021-08-25,374.630005,375.390015,373.859985,374.799988,374.384918,20441900
195,2021-08-26,373.920013,374.619995,371.970001,372.420013,372.007568,29133300
196,2021-08-27,373.070007,376.559998,372.570007,376.040009,375.623566,27088600
197,2021-08-30,376.850006,380.76001,376.829987,380.26001,379.838898,27295700
198,2021-08-31,380.51001,380.579987,378.359985,379.950012,379.529236,29628200
199,2021-09-01,381.040009,382.709991,380.369995,380.579987,380.158508,28138300
200,2021-09-02,381.970001,382.309998,379.149994,380.399994,379.978729,25453400
201,2021-09-03,379.220001,381.980011,379.200012,381.570007,381.14743,24605400
202,2021-09-07,381.679993,382.779999,380.48999,382.109985,381.686829,23970200
203,2021-09-08,381.929993,381.929993,378.450012,380.779999,380.358307,32949200
204,2021-09-09,381.01001,382.149994,379.220001,379.470001,379.049744,29399000
205,2021-09-10,381.230011,381.970001,376.25,376.589996,376.172943,40210700
206,2021-09-13,378.98999,379.429993,374.220001,376.329987,375.913208,48741800
207,2021-09-14,377.859985,378.609985,374.279999,375.26001,374.844421,41826600
208,2021-09-15,375.730011,378.410004,373.369995,378.049988,377.631317,34097900
209,2021-09-16,376.679993,378.899994,374.700012,378.309998,377.891022,35193100
210,2021-09-17,377.820007,377.869995,372.76001,373.829987,373.415985,60912300
211,2021-09-20,367.459991,369.25,360.929993,365.700012,365.700012,76203200
212,2021-09-21,367.579987,368.809998,364.98999,366.149994,366.149994,41927500
213,2021-09-22,367.089996,371.070007,365.959991,369.570007,369.570007,46972900
214,2021-09-23,370.76001,374.040009,370.100006,372.980011,372.980011,44652000
215,2021-09-24,370.649994,373.76001,370.269989,373.329987,373.329987,36056800
216,2021-09-27,370.200012,371.25,367.730011,370.350006,370.350006,43338100
217,2021-09-28,365.670013,370.299988,359.350006,359.869995,359.869995,97701600
218,2021-09-29,361.170013,363.369995,358.640015,359.279999,359.279999,58076600
219,2021-09-30,360.970001,362.679993,357.100006,357.959991,357.959991,61136600
220,2021-10-01,358.600006,361.25,354.380005,360.179993,360.179993,56375500
221,2021-10-04,358.519989,358.859985,350.320007,352.619995,352.619995,76766000
222,2021-10-05,353.709991,359.690002,353.480011,357.380005,357.380005,47232900
223,2021-10-06,354.079987,359.950012,353.149994,359.670013,359.670013,56806500
224,2021-10-07,362.799988,365.690002,362.25,362.970001,362.970001,39411200
225,2021-10-08,364.079987,364.320007,360.609985,361.160004,361.160004,41810200
226,2021-10-11,359.579987,363.200012,358.299988,358.390015,358.390015,34847200
227,2021-10-12,359.880005,360.329987,356.480011,357.140015,357.140015,43905100
228,2021-10-13,359.51001,360.690002,357.429993,360,360,40120800
229,2021-10-14,363.690002,366.850006,363.01001,366.630005,366.630005,43433900
230,2021-10-15,367.880005,369.059998,366.820007,368.940002,368.940002,40391000
231,2021-10-18,367.609985,372.869995,366.98999,372.649994,372.649994,34513500
232,2021-10-19,373.75,375.519989,372.700012,375.470001,375.470001,29091000
233,2021-10-20,375.940002,376.570007,373.459991,374.980011,374.980011,31390300
234,2021-10-21,374.160004,377.470001,373.850006,377.269989,377.269989,25469300
235,2021-10-22,375.980011,376.970001,372.390015,374.100006,374.100006,36231900
